favorites_title	Lɔlɔ̃nuwo
favorites_tab_fabrics	Avɔwo
favorites_tab_designs	Ɖoɖowo
favorites_tab_looks	Nɔnɔmeɖeɖewo
favorites_empty_title	Wò awuɖoɖo nuƒoƒu le ƒuƒu
favorites_empty_body	Dzra avɔwo kɔ nɔnɔmeɖeɖe siwo nèlɔ̃ ɖo ne nàkpɔ wo afii emegbe.
favorites_search_hint	Di wò lɔlɔ̃nuwo
favorites_removed	Woɖee ɖa le lɔlɔ̃nuwo me
favorites_count	%1$d siwo nèdzra ɖo
tooltip_favorites	Dzra ɖoɖowo kɔ nɔnɔmeɖeɖe siwowɔ la ɖe afii.
history_title	Ŋutinya
history_subtitle	Wò dɔwɔwɔ yeyewo tsia mɔ̃ sia dzi.
history_empty_title	Dɔwɔwɔ aɖeke meli haɖe o
history_empty_body	Wò ɖeɖewo, ɖoɖo tiatiawo kɔ nɔnɔmeɖeɖe siwowɔ adze afii.
history_clear	Ɖe ŋutinya ɖa
history_clear_confirm_title	Ɖe ŋutinya blibo ɖa?
history_clear_confirm_body	Esia ɖea wò ɖeɖewo, ɖoɖowo kɔ nɔnɔmeɖeɖewo ƒe ŋutinya ɖa tso mɔ̃ sia dzi. Woagblẽ wò lɔlɔ̃nuwo o.
history_cleared	Woɖe ŋutinya ɖa
history_item_deleted	Woɖe nu la ɖa
history_event_scan	Woɖe avɔ
history_event_analysis	Wodzro %1$s me
history_event_design	Woʋu %1$s
history_event_look	Wowɔ nɔnɔmeɖeɖe: %1$s
profile_title	Nye Ŋuti
profile_guest	Amedzro
profile_guest_body	Èle Ntoma zãm akaŋti manɔmee. Nu si nèdzra ɖo la katã tsia mɔ̃ sia dzi.
profile_section_you	Wò
profile_section_activity	Dɔwɔwɔ
profile_section_preferences	Tiatia
profile_section_support	Kpekpeɖeŋu
profile_row_history	Ŋutinya
profile_row_settings	Ɖoɖowo
profile_row_notifications	Nyatakakawo
profile_row_premium	Ntoma Premium
profile_row_help	Kpekpeɖeŋu kɔ aɖaŋuɖoɖo
profile_row_privacy	Ameŋutinyawo ƒe nya
profile_row_about	Ntoma ŋuti
profile_stats_fabrics	Avɔwo
profile_stats_designs	Ɖoɖowo
profile_stats_looks	Nɔnɔmeɖeɖewo
profile_name_hint	Ŋkɔ si nàɖe fia
profile_name_saved	Wodzra ŋkɔ la ɖo
profile_style_preference	Awuɖoɖo tiatia
profile_preference_womenswear	Nyɔnuwo ƒe awu
profile_preference_menswear	Ŋutsuwo ƒe awu
profile_preference_all	Ɖe nuwo katã fia
settings_title	Ɖoɖowo
settings_section_appearance	Dzedzeme
settings_section_language	Gbe
settings_section_notifications	Nyatakakawo
settings_section_privacy	Ameŋutinyawo
settings_section_account	Akaŋti
settings_section_help	Kpekpeɖeŋu
settings_section_about	Ŋuti
settings_section_analysis	Dzroɖeƒe
settings_theme	Dzedzeme
settings_theme_light	Kɛkɛ
settings_theme_dark	Viviti
settings_theme_system	Mɔ̃a ƒe ɖokui
settings_language	Gbe
settings_language_english	Yevugbe
settings_language_twi	Twi
settings_language_ga	Ga
settings_language_ewe	Ewe
settings_language_note	Wole Twi, Ga kɔ Ewe dzi wɔm. Woɖea nya siwo womeɖe gɔme o la le Yevugbe me.
settings_notif_processing	Dɔwɔwɔ wu enu
settings_notif_processing_body	Gblɔe nam ne nɔnɔmeɖeɖe aɖe ƒe wɔwɔ wu enu.
settings_notif_recommendations	Ɖoɖo yeyewo
settings_notif_recommendations_body	Awuɖoɖo susuwɔ ɣeaɖewoɣi siwo tso avɔ siwo medzra ɖo la me.
settings_notif_updates	Ntoma ƒe tɔtrɔ
settings_notif_updates_body	Tɔtrɔ veviwo le Ntoma me.
settings_notif_inspiration	Ŋkeke ƒe susu nyui
settings_notif_inspiration_body	Susu nyui ɖeka kwasiɖa sia kwasiɖa. Womeʋunɛ tso gɔmeɖoanyia o.
settings_notif_permission_needed	Ɖe mɔ na nyatakakawo ne nàkpɔ esiawo.
settings_notif_denied_body	Woxe nyatakakawo le mɔ̃a ƒe ɖoɖowo me. Àte ŋu azã Ntoma ƒe akpa bubuwo katã boŋ.
settings_privacy_policy	Ameŋutinyawo ƒe ɖoɖo
settings_terms	Sedede kɔ ɖoɖowo
settings_data_controls	Nyatakaka dzi ɖuɖu
settings_delete_data	Ɖe nye nyatakaka ɖa
settings_clear_history	Ɖe ŋutinya ɖa
settings_engine	Dzroɖeƒe
settings_engine_demo	Mɔ̃a dzi kpɔɖeŋu
settings_engine_demo_body	Ewɔa dɔ le wò mɔ̃a dzi bliboe. Nɔnɔmeɖeɖe aɖeke medzoa mɔ̃a dzi o.
settings_engine_cloud	Cloud dzi dzodzro (womeka ɖe eŋu o)
settings_engine_cloud_body	Eɖoa nɔnɔmeɖeɖe la ɖa na wò dzroɖeƒe. API hiã — womedzraa safuiwo ɖo ɖe app la me o.
settings_engine_cloud_unavailable	Cloud ƒe teƒe aɖeke meli o, eya ta Ntoma le mɔ̃a dzi ɖoɖo zãm.
settings_help_how	Ale si Ntoma wɔa dɔ
settings_help_tutorial	Nufiafia ɖe afɔɖeɖe nu
settings_help_faq	Biabia siwo wobiana zi geɖe
settings_help_contact	Bia kpekpeɖeŋu
settings_about_version	Version
settings_about_credits	Ɖeɖe fiafia
settings_about_made	Wowɔe le Accra, Ghana
settings_replay_onboarding	Ɖe gɔmedzedze nufiafia ake
settings_reset_tips	Gadze aɖaŋuɖoɖo kpuikpuiwo gɔme
settings_tips_reset_done	Aɖaŋuɖoɖo kpuikpuiwo agadze ake
settings_data_used	Teƒe si wozã
premium_title	Ntoma Premium
premium_pitch	Ntoma femaxe la nana nèɖea avɔwo, nèkpɔa ɖoɖo katã, eye nèdzraa lɔlɔ̃nuwo ɖo. Premium nye na ŋkeke siwo nèle awu geɖe ɖom ɖa le.
premium_benefit_analyses	Avɔ dzroɖewɔwɔ si me seɖoƒe meli o
premium_benefit_tryons	Dodokpɔ 20 ɣleti sia ɣleti
premium_benefit_resolution	Nɔnɔmeɖeɖe kɔkɔwo
premium_benefit_speed	Dɔwɔwɔ kaba
premium_benefit_styles	Awuɖoɖo ɖoɖoƒe gã
premium_benefit_ads	Adzɔnu aɖeke o
premium_benefit_history	Ŋutinya blibo dzi dzadzraɖo
premium_price_monthly	%1$s ɣleti sia
premium_price_yearly	%1$s ƒe sia
premium_tab_monthly	Ɣleti sia
premium_tab_yearly	Ƒe sia
premium_subscribe	Ŋlɔ ŋkɔ
premium_restore	Gbugbɔ nuƒlewo xɔ
premium_current_plan	Ɖoɖo si le eme: %1$s
premium_billing_notice	Wometsɔ akɔntabubu ka ɖe eŋu le version sia me o. Anyigba sia fia xeƒeɖoɖo ƒe ɖoɖo ko — womexɔa ga eye womewɔa ŋkɔŋlɔɖi aɖeke o.
premium_demo_unlock	Ɖe Premium (kpɔɖeŋu dzesi)
premium_demo_locked	Tsɔ Premium ƒe dzesi ɖa (kpɔɖeŋu)
premium_demo_activated	Kpɔɖeŋu Premium le ʋuʋu. WOMEXƆ GA AÐEKE O — akɔntabubu mele version sia me o.
premium_already_active	Premium le dɔ wɔm le mɔ̃ sia dzi xoxo.
premium_unlocked_toast	Premium le ʋuʋu le mɔ̃ sia dzi (kpɔɖeŋu)
paywall_sheet_title	Èɖo femaxe ƒe seɖoƒe
paywall_sheet_body_analyses	Akaŋti femaxewo xɔa avɔ dzroɖewɔwɔ %1$d le ŋkeke ɖeka me. Premium ɖea seɖoƒe la ɖa.
paywall_sheet_body_tryons	Akaŋti femaxewo xɔa dodokpɔ %1$d le ɣleti ɖeka me.
paywall_sheet_alternative	Alo kpɔ adzɔnu kpuie aɖe nàkpɔ dodokpɔ bubu ɖeka
ads_placeholder_title	Adzɔnu
ads_placeholder_body	Adzɔnu teƒe. Tsɔ adzɔnu ɖoɖo kpe ɖe eŋu nàna adzɔnu ŋutɔŋutɔ. Premium me tɔwo mekpɔa esia gbeɖe o.
ads_rewarded_label	Adzɔnu si wokpɔ (kpɔɖeŋu)
ads_rewarded_playing	Emɔŋ le kpɔɖeŋu adzɔnu ƒom… %1$d
ads_rewarded_skip	Dze edzi
permission_camera_title	Kamera ƒe mɔɖeɖe
permission_camera_body	Ntoma zãa kamera ne wòle avɔ alo ame si nètia ƒe nɔnɔmeɖeɖe ɖem ko. Nɔnɔmeɖeɖewo tsia mɔ̃ sia dzi negbe ɖe nèbia AI wɔwɔ ko.
permission_camera_denied_title	Kamera tsi
permission_camera_denied_body	Àte ŋu atia nɔnɔmeɖeɖe xoxo tso wò nɔnɔmeɖeɖewo me, alo nàʋu kamera le mɔ̃a ƒe ɖoɖowo me.
permission_notifications_title	Nyatakakawo
permission_notifications_body	Míedea asi ɖe nya ŋu na wò ne nu si nèdze egɔme la wu enu, alo ne èlɔ̃ ɖe awuɖoɖo susuwo dzi ko.
permission_denied_continue	Yi edzi evelia
permission_open_app_settings	Ɖe mɔ le mɔ̃a ƒe ɖoɖowo me
error_generic_title	Nane gblẽ
error_generic_body	Emete ŋu o. Gadze agbagba ake.
error_no_internet_title	Internet meli o
error_no_internet_body	Kpɔ wò internet dzi nàgadze agbagba. Ɖoɖo kpɔkpɔ, lɔlɔ̃nuwo kɔ ŋutinya gadzea dɔ internet manɔmee.
error_server_title	Dɔwɔƒe meli o
error_server_body	Yɛyɔƒe mele ŋuɖoɖo nam azɔ o. Gadze agbagba ake le ɣeyiɣi kpui aɖe megbe.
error_timeout_title	Exɔ ɣeyiɣi didi akpa
error_timeout_body	Biabia la ƒe ɣeyiɣi wu enu. Nɔnɔmeɖeɖe kpuie alo internet nyui ate ŋu akpe ɖe ŋu.
error_invalid_image_title	Míete ŋu xlẽ nɔnɔmeɖeɖe ma o
error_invalid_image_body	Ðewohi fael la gblẽ alo ele ƒuƒu. Tsɔ nɔnɔmeɖeɖe bubu adze agbagba.
error_unsupported_image_title	Fael ƒomevi ma medze o
error_unsupported_image_body	Tia JPG, PNG alo WebP nɔnɔmeɖeɖe.
error_image_too_large_title	Nɔnɔmeɖeɖe ma lolo akpa
error_image_too_large_body	Tsɔ nɔnɔmeɖeɖe sue aɖe adze agbagba — nɔnɔmeɖeɖe si mede 20 MP o la wɔa dɔ nyuitɔ.
error_generation_title	Míete ŋu wɔ nɔnɔmeɖeɖe ma o
error_generation_body	Nɔnɔmeɖeɖewɔƒe la mete ŋu wu enu o. Tsɔ nɔnɔmeɖeɖe nyui si me kɛkɛ le adze agbagba.
error_rate_limit_title	Dzudzɔ vie
