app_name	Ntoma
app_tagline	Tsɔ ntama ni oye lɛ kɛ o tsake no kɛ o shikaŋ shishifɔɔ ni mli.
cd_app_logo	Ntoma shishifɔɔ
action_retry	Kɛ o tsɔɔ eko
action_cancel	Kwra mli
action_back	Sɛɛ
action_close	To mli
action_confirm	Kɛ shishi
action_save	To mli
action_saved	Ato mli
action_share	Kɛɛ mɔ
action_delete	Jɛ mli
action_remove	Kɛ jɛ mli
action_done	Na gbe
action_got_it	Miŋ nɔ
action_continue	Tsɔ nɔ
action_see_all	Kɛ mɔ fɛɛ
action_learn_more	Kase mɔ bii
action_open_settings	Yi toomɔi
action_not_now	Jjɛŋ ŋɔɔ
action_yes	Yewaa
action_no	Nato
action_search	Yitso
action_clear	Kɛ jɛ mli
action_apply	Tsɔ nɔ
label_loading	Emɔŋ ba…
label_offline	O ye intanɛt mli
label_offline_short	Intanɛt bɔ
label_online_short	Intanɛt mli
label_demo_badge	Nɔŋmɔ
label_free	Femli
label_premium	Premium
label_advertisement	Shiŋmɔ
nav_home	Shia
nav_discover	Yitso
nav_create	Ŋwɛɛ nɔŋ nɔ
nav_favorites	Suɔmɔi
nav_profile	Mi he mɔɔ
cd_bottom_navigation	Kpɔɔmɔ kɛ yɔ
onboarding_welcome_title	O ba Ntoma mli
onboarding_welcome_body	Ntoma ji Akan gbi ni ŋwɛɛ "ntama". Kɛ o ntama shishifɔɔ ni oye, ni yɛba ŋwɛɛ o mɔ ni mli baaŋ — kɛjɛ kaba kɛ slit mli ya kaftan nɔŋ nɔ.
onboarding_step1_title	Kɛ ntama shishifɔɔ anaa tsɔ mli
onboarding_step1_body	Kɛ o ntama shishifɔɔ, anaa kɛ ba mli kɛjɛ o shishifɔɔ kɛ mli. Ntama nɔŋ ji mɔ fɛɛ shishifɔɔ.
onboarding_step2_title	Kɛ susumɔi ni naa lɛ
onboarding_step2_body	Yɛkɛɛ ɛjɔŋmɔi, nutata kɛ ntama he mɔɔ, ni yɛŋwɛɛ Ghana kɛ shiŋ shisusumɔi yɛ ayeŋ kɛ anɔŋmɔi.
onboarding_step3_title	Kɛ o shishifɔɔ nɔ
onboarding_step3_body	O shikaŋ: kɛ o shishifɔɔ ba mli ni o kɛ susumɔ no gbɔmɔ nɔ bɔ o maŋ o tɔɔlɔ shi.
onboarding_step4_title	To mli ni o kɛɛ mɔ
onboarding_step4_body	To ntama kɛ shishifɔɔi ni osuɔ mli kɛ Suɔmɔi mli, ni o kɛɛ mɔ o tɔɔlɔ anaa o bii.
onboarding_started_title	Ba, yɛshi shishifɔɔ
onboarding_started_body	O shishifɔɔ kɛ dɔŋŋ ji gbe mli nɔ o shi gbe.
onboarding_cta_scan	Kɛ mi ntama shishifɔɔ
onboarding_cta_skip	Fiŋ ŋɔɔ
onboarding_page_indicator	Kratafa %1$d yɛ %2$d mli
onboarding_next	Ni mli
onboarding_privacy_note	Shikaŋ bɔ akawnt. O shishifɔɔi ba o fɔn nɔ bɔ o shɔ AI shishifɔɔŋwɛɛmɔ nɔŋ.
home_greeting_morning	Oba
home_greeting_afternoon	Oba nɔŋ
home_greeting_evening	Shwieɛ? Evening greeting Ga = "Oshwie"? use Oshwie
home_subtitle	Kɛ mɔ ni o ntama baaŋ.
home_cta_scan	Kɛ ntama shishifɔɔ
home_cta_upload	Kɛ kɛjɛ shishifɔɔi mli
home_section_recent_fabrics	O ntamai ni mli
home_section_recommended	Abɔ o mɔ
home_section_continue	Tsɔ nɔ ŋwɛɛ
home_section_favorites	Shishifɔɔi ni ato mli
home_section_tips	Mɔɔ ni he hia
home_tip_1_title	Toɔ shishifɔɔ no mli
home_tip_1_body	Ba o heŋ nɔ nɔɔ nutata no mli skrin mli — nɔŋ ji mɔ ni mli baaŋ kɛ o kɛɛ.
home_tip_2_title	Tsɔ njɔɔŋ shikaŋ di mɔ
